商品名,URL,小分類,効能効果１,効能効果２,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
コタロー香蘇散エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000583,香蘇散,,神経質で、頭痛がして、気分がすぐれず食欲不振を訴えるもの、あるいは頭重、めまい、耳鳴を伴うもの。感冒、頭痛、ジンマ疹、神経衰弱、婦人更年期神経症、神経性月経困難症。,,水製乾燥エキス(2.2g),コウブシ(4.0g)、チンピ(2.5g)、カンゾウ(1.0g)、ソヨウ(1.0g)、ショウキョウ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー五積散エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000189,五積散,,冷え症、易労性で胃腸の弱い体質の主として次の諸症に用いる。胃炎、胃アトニー、胃下垂、腰痛、坐骨神経痛、リウマチ、婦人科系機能障害、脚気。,,水製乾燥エキス(5.5g),ソウジュツ(2.0g)、チンピ(2.0g)、トウキ(2.0g)、ハンゲ(2.0g)、ビャクジュツ(2.0g)、ブクリョウ(2.0g)、カンキョウ(1.0g)、カンゾウ(1.0g)、キキョウ(1.0g)、ケイヒ(1.0g)、コウボク(1.0g)、シャクヤク(1.0g)、センキュウ(1.0g)、タイソウ(1.0g)、ビャクシ(1.0g)、マオウ(1.0g)、ショウキョウ(0.3g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー呉茱萸湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006233,呉茱萸湯,,頭痛を伴った冷え症で、胃部圧重感があり、悪心または嘔吐するもの。吃逆、片頭痛、発作性頭痛、嘔吐症。,,水製乾燥エキス(4.5g),タイソウ(4.0g)、ゴシュユ(3.0g)、ニンジン(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー五苓散料エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00004458,五苓散,,咽喉がかわいて、水を飲むにも拘らず、尿量減少するもの、頭痛、頭重、頭汗、悪心、嘔吐、あるいは浮腫を伴うもの。急性胃腸カタル、小児・乳児の下痢、宿酔、暑気当り、黄疸、腎炎、ネフローゼ、膀胱カタル。,,水製乾燥エキス(3.2g),タクシャ(6.0g)、チョレイ(4.5g)、ビャクジュツ(4.5g)、ブクリョウ(4.5g)、ケイヒ(2.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー柴陥湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006234,柴陥湯,,胸痛や背痛、あるいは胸水があって、胸元もしくは胃部がつかえ、尿量減少するもの、あるいは咳嗽して、粘稠な喀痰を排泄するもの。気管支炎、気管支喘息、肋膜炎の胸痛。,,水製乾燥エキス(5.0g),サイコ(5.0g)、ハンゲ(5.0g)、オウゴン(3.0g)、タイソウ(3.0g)、ニンジン(2.0g)、オウレン(1.5g)、カンゾウ(1.5g)、ショウキョウ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー柴胡加竜骨牡蛎湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00004767,柴胡加竜骨牡蛎湯,,精神不安があって驚きやすく、心悸亢進、胸内苦悶、めまい、のぼせ、不眠などを伴い、あるいは臍部周辺に動悸を自覚し、みぞおちがつかえて便秘し、尿量減少するもの。動脈硬化、高血圧、腎臓病、不眠症、神経性心悸亢進、心臓衰弱、テンカン、小児夜啼症、更年期神経症、陰萎、神経症。,,水製乾燥エキス(5.0g),サイコ(5.0g)、ハンゲ(4.0g)、ケイヒ(3.0g)、ブクリョウ(3.0g)、オウゴン(2.5g)、タイソウ(2.5g)、ニンジン(2.5g)、ボレイ(2.5g)、リュウコツ(2.5g)、ダイオウ(1.0g)、ショウキョウ(0.7g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.3　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー柴胡桂枝乾姜湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00001015,柴胡桂枝乾姜湯,,衰弱して血色悪く、微熱、頭汗、盗汗、胸内苦悶、疲労倦怠感、食欲不振などがあり、胸部あるいは臍部周辺に動悸を自覚し、神経衰弱気味で、不眠、軟便の傾向があって、尿量減少し、口内がかわいて空咳などがあるもの。感冒、心臓衰弱、胸部疾患・肝臓病などの消耗性疾患の体力増強、貧血症、神経衰弱、不眠症、更年期神経症。,,水製乾燥エキス(3.5g),サイコ(6.0g)、オウゴン(3.0g)、カロコン(3.0g)、ケイヒ(3.0g)、ボレイ(3.0g)、カンキョウ(2.0g)、カンゾウ(2.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.2、11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー柴胡桂枝湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000584,柴胡桂枝湯,,自然発汗があって、微熱、悪寒し、胸や脇腹に圧迫感があり、頭痛、関節痛があるもの、あるいは胃痛、胸痛、悪心、腹痛が激しく食欲減退などを伴うもの。感冒、肋膜炎。,,水製乾燥エキス(4.0g),サイコ(5.0g)、ハンゲ(4.0g)、ケイヒ(2.5g)、オウゴン(2.0g)、シャクヤク(2.0g)、タイソウ(2.0g)、ニンジン(2.0g)、カンゾウ(1.5g)、ショウキョウ(0.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.2、11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー柴胡清肝湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006235,柴胡清肝湯,,虚弱者、小児腺病体質者、およびこれに伴う次の諸症。慢性胃腸病、貧血、頸部淋巴腺炎、肺門淋巴腺炎、扁桃腺肥大、神経症、湿疹。,,水製乾燥エキス(5.7g),サイコ(2.0g)、オウゴン(1.5g)、オウバク(1.5g)、オウレン(1.5g)、カロコン(1.5g)、カンゾウ(1.5g)、キキョウ(1.5g)、ゴボウシ(1.5g)、サンシシ(1.5g)、ジオウ(1.5g)、シャクヤク(1.5g)、センキュウ(1.5g)、トウキ(1.5g)、ハッカ(1.5g)、レンギョウ(1.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　サンシシ含有製剤の長期投与（多くは5年以上）により、大腸の色調異常、浮腫、びらん、潰瘍、狭窄を伴う腸間膜静脈硬化症があらわれるおそれがある。長期投与する場合にあっては、定期的にCT、大腸内視鏡等の検査を行うことが望ましい。［11.1.3参照］8.4　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー三黄瀉心湯エキスカプセル,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00046958,三黄瀉心湯,,のぼせて不安感があり、胃部がつかえて便秘がひどいもの、あるいは充血または出血の傾向を伴うもの。高血圧症、動脈硬化症、脳いっ血、下血、鼻出血、常習便秘。,,,オウゴン(1.0g)、オウレン(1.0g)、ダイオウ(1.0g),カルメロースカルシウム、軽質無水ケイ酸、結晶セルロース、合成ケイ酸アルミニウム、ステアリン酸マグネシウム、トウモロコシデンプン、ヒドロキシプロピルスターチ、メタケイ酸アルミン酸マグネシウム、カプセル本体に青色1号、黄色5号、赤色3号、酸化チタン、ゼラチン、ラウリル硫酸ナトリウム,,通常、成人1日3カプセル（0.84g）を2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.3　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー三黄瀉心湯エキスカプセル,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006236,三黄瀉心湯,,のぼせて不安感があり、胃部がつかえて便秘がひどいもの、あるいは充血または出血の傾向を伴うもの。高血圧症、動脈硬化症、脳いっ血、下血、鼻出血、常習便秘。,,,オウゴン(1.0g)、オウレン(1.0g)、ダイオウ(1.0g),カルメロースカルシウム、軽質無水ケイ酸、結晶セルロース、合成ケイ酸アルミニウム、ステアリン酸マグネシウム、トウモロコシデンプン、ヒドロキシプロピルスターチ、メタケイ酸アルミン酸マグネシウム、カプセル本体に青色1号、黄色5号、赤色3号、酸化チタン、ゼラチン、ラウリル硫酸ナトリウム,,通常、成人1日3カプセル（0.84g）を2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.3　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー三黄瀉心湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016191,三黄瀉心湯,,のぼせて精神不安があり、胃部がつかえて、便秘がひどいもの、あるいは鮮紅色の充血、出血の傾向を伴うもの。高血圧、動脈硬化、高血圧による不眠症、脳溢血、吐血、下血、鼻出血、常習便秘。,,水製乾燥エキス(0.6g),オウゴン(1.0g)、オウレン(1.0g)、ダイオウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.3　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー梔子柏皮湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006238,梔子柏皮湯,,肝臓部に圧迫感があるもの。黄疸、皮膚そう痒症、宿酔。,,水製乾燥エキス(1.2g),サンシシ(3.0g)、オウバク(2.0g)、カンゾウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　サンシシ含有製剤の長期投与（多くは5年以上）により、大腸の色調異常、浮腫、びらん、潰瘍、狭窄を伴う腸間膜静脈硬化症があらわれるおそれがある。長期投与する場合にあっては、定期的にCT、大腸内視鏡等の検査を行うことが望ましい。［11.1.3参照］8.4　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー四物湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016204,四物湯,,貧血、冷え症で腹部が軟弱でやや膨満し、便秘の傾向があるもの。高血圧症、貧血症、更年期障害、月経不順、月経痛、過多月経、産前産後の諸種の障害。,,水製乾燥エキス(3.5g),ジオウ(3.0g)、シャクヤク(3.0g)、センキュウ(3.0g)、トウキ(3.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー炙甘草湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006240,炙甘草湯,,顔色悪く貧血し、不整脈があって動悸息切れがはげしく、便秘がちのもの、あるいは熱感があるもの。心臓神経症、心臓弁膜症、血痰を伴った咳嗽、バセドウ病の呼吸困難。,,水製乾燥エキス(9.0g),ジオウ(6.0g)、バクモンドウ(6.0g)、ケイヒ(3.0g)、シャカンゾウ(3.0g)、タイソウ(3.0g)、ニンジン(3.0g)、マシニン(3.0g)、ゼラチン(2.0g)、ショウキョウ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,15.0g,通常、成人1日15.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー芍薬甘草湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00004762,芍薬甘草湯,,急激におこる筋肉のけいれんを伴う疼痛、筋肉・関節痛、胃痛、腹痛,,水製乾燥エキス(2.5g),カンゾウ(5.0g)、シャクヤク(5.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.2、11.1.4参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー十全大補湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016211,十全大補湯,,皮膚および粘膜が蒼白で、つやがなく、やせて貧血し、食欲不振や衰弱がはなはだしいもの。消耗性疾患、あるいは手術による衰弱、産後衰弱、全身衰弱時の次の諸症。低血圧症、貧血症、神経衰弱、疲労倦怠、胃腸虚弱、胃下垂。,,水製乾燥エキス(8.5g),ジオウ(3.5g)、トウキ(3.5g)、ビャクジュツ(3.5g)、ブクリョウ(3.5g)、ケイヒ(3.0g)、シャクヤク(3.0g)、センキュウ(3.0g)、オウギ(2.5g)、ニンジン(2.5g)、カンゾウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,15.0g,通常、成人1日15.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー十味敗毒湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016215,十味敗毒湯,,腫物、湿疹、ジンマ疹、にきび、フルンクロージスの体質改善。,,水製乾燥エキス(3.8g),オウヒ(3.0g)、キキョウ(3.0g)、サイコ(3.0g)、センキュウ(3.0g)、ブクリョウ(3.0g)、ドクカツ(2.0g)、ハマボウフウ(2.0g)、カンゾウ(1.0g)、ケイガイ(1.0g)、ショウキョウ(0.3g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー小建中湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000585,小建中湯,,虚弱体質で疲労しやすく、のぼせ、腹痛や動悸があり、冷え症で手足がほてり、排尿回数、尿量ともに多いもの。胃腸病、小児の下痢あるいは便秘、神経質、腺病質、貧血症、頻尿、小児夜啼症、小児夜尿症。,,水製乾燥エキス(4.5g),コウイ(20.0g)、シャクヤク(6.0g)、ケイヒ(4.0g)、タイソウ(4.0g)、カンゾウ(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、プルラン、メタケイ酸アルミン酸マグネシウム,27.0g,通常、成人1日27.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー小柴胡湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006091,小柴胡湯,,1.体力中等度で上腹部がはって苦しく、舌苔を生じ、口中不快、食欲不振、時により微熱、悪心などのあるものの次の諸症諸種の急性熱性病、肺炎、気管支炎、気管支喘息、感冒、リンパ腺炎、慢性胃腸障害、産後回復不全2.慢性肝炎における肝機能障害の改善,,水製乾燥エキス(5.0g),サイコ(7.0g)、ハンゲ(5.0g)、オウゴン(3.0g)、タイソウ(3.0g)、ニンジン(3.0g)、カンゾウ(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,"＜効能共通＞
8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.2、11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。
＜慢性肝炎における肝機能障害の改善＞
8.4　本剤を投与中は、血小板数の変化に注意し、血小板数の減少が認められた場合には、投与を中止すること。［1.1、2.3、9.3.1-9.3.3、11.1.1参照］",
コタロー小青竜湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006243,小青竜湯,,下記疾患における水様の痰、水様鼻汁、鼻閉、くしゃみ、喘鳴、咳嗽、流涙気管支炎、気管支喘息、鼻炎、アレルギー性鼻炎、アレルギー性結膜炎、感冒,,水製乾燥エキス(5.0g),ハンゲ(6.0g)、カンキョウ(3.0g)、カンゾウ(3.0g)、ケイヒ(3.0g)、ゴミシ(3.0g)、サイシン(3.0g)、シャクヤク(3.0g)、マオウ(3.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.2、11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー小半夏加茯苓湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000192,小半夏加茯苓湯,,胃部に水分停滞感があって、嘔吐するもの。つわり、嘔吐症。,,水製乾燥エキス(1.2g),ハンゲ(5.0g)、ブクリョウ(5.0g)、ショウキョウ(1.3g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー消風散エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000586,消風散,,長年なおらない頑固な皮膚疾患で患部が乾燥あるいはうすい分泌液があり、夏期または温暖時に悪化しやすいもの。湿疹、蕁麻疹。,,水製乾燥エキス(6.0g),ジオウ(3.0g)、セッコウ(3.0g)、トウキ(3.0g)、ゴボウシ(2.0g)、ソウジュツ(2.0g)、ハマボウフウ(2.0g)、モクツウ(2.0g)、ゴマ(1.5g)、チモ(1.5g)、カンゾウ(1.0g)、クジン(1.0g)、ケイガイ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー辛夷清肺湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000587,辛夷清肺湯,,蓄膿症、慢性鼻炎、鼻閉。,,水製乾燥エキス(7.5g),セッコウ(5.0g)、バクモンドウ(5.0g)、オウゴン(3.0g)、サンシシ(3.0g)、チモ(3.0g)、ビャクゴウ(3.0g)、シンイ(2.0g)、ビワヨウ(2.0g)、ショウマ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,12.0g,通常、成人1日12.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　サンシシ含有製剤の長期投与（多くは5年以上）により、大腸の色調異常、浮腫、びらん、潰瘍、狭窄を伴う腸間膜静脈硬化症があらわれるおそれがある。長期投与する場合にあっては、定期的にCT、大腸内視鏡等の検査を行うことが望ましい。［11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
