商品名,URL,小分類,効能効果１,効能効果２,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
セッショインN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2001000187,折衝飲,体力中等度以上で、下腹部痛があるものの次の諸症：,月経痛、月経不順、月経困難、神経痛、腰痛、肩こり,"本剤は、漢方の古典「産論」（江戸時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　女性の健康にとって「生理」は大切な意味をもっており、生理をととのえ、その障害をとり除くことが健康づくりの第一歩ともなります。
　漢方では気・血・水のバランスを重要視しますが、このうち女性特有の症状には血のめぐりがうまく行かないことによるものが少なくありません。
　生理が不順であったり、生理に伴って下腹部や腰に激しい痛みが起こるのも、漢方ではお血（一種の血のとどこおり）から起こると考えています。
　セッショインNは、血のめぐりをよくしてお血による生理痛などに用いられる漢方薬です。",エキス散(3.4g),トウキ(2.5g)、トウニン(2.5g)、ケイヒ(1.5g)、シャクヤク(1.5g)、センキュウ(1.5g)、ボタンピ(1.5g)、エンゴサク(1.25g)、ゴシツ(1.25g)、コウカ(0.75g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
ソケーカンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2001000144,疎経活血湯,体力中等度で、痛みがあり、ときにしびれがあるものの次の諸症：,腰痛、関節痛、神経痛、筋肉痛,"本剤は、漢方の古典「万病回春」（明代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　四肢の関節や、腰から下あるいは肩、くび、腕などが痛み、時には腫れたり、しびれたりして日常生活に支障を来たしている方が少なくありません。
　これらは時に夜間に痛みがひどくなったり、寒冷・湿気で悪化するなど、原因やあらわれ方もさまざまです。
　ソケーカンNは、経を疎し（気血の道の通りをよくし）、血を活かして（血行をよくして）上記の症状を改善する漢方薬です。",エキス散(4.32g),シャクヤク(1.25g)、ジオウ(1g)、センキュウ(1g)、ソウジュツ(1g)、トウキ(1g)、トウニン(1g)、ブクリョウ(1g)、イレイセン(0.75g)、ゴシツ(0.75g)、チンピ(0.75g)、ビャクシ(0.75g)、ボウイ(0.75g)、ボウフウ(0.75g)、リュウタン(0.75g)、ワキョウカツ(0.75g)、カンゾウ(0.5g)、ショウキョウ(0.5g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
ダイサインN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1501000012,大柴胡湯,体力が充実して、脇腹からみぞおちあたりにかけて苦しく、便秘の傾向があるものの次の諸症：,高血圧や肥満に伴う肩こり・頭痛・便秘、肥満症、胃炎、常習便秘、神経症,"本剤は、漢方の古典「傷寒論」（後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　高齢化社会の到来や、ストレス、摂取カロリーの過剰（飽食）など、昨今の生活環境の中で、健康への関心が一層高まっています。生活習慣病の予防や管理についても、運動や減量対策をふくめ、日常的な健康管理が特に大切になってきています。
　ダイサインNは、体格がよくガッチリ型、または固太りした方で、便秘の傾向があり、血圧も高めで、よく肩がこったり、頭痛がするような場合に用いられます。",大柴胡湯エキス散(2.64g),サイコ(3g)、ハンゲ(2g)、オウゴン(1.5g)、シャクヤク(1.5g)、タイソウ(1.5g)、キジツ(1g)、ショウキョウ(1g)、ダイオウ(0.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．本剤を服用している間は、次の医薬品を服用しないでください
　他の瀉下薬（下剤）
2．授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けてください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
　（5）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：はげしい腹痛を伴う下痢、腹痛

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位（常習便秘、高血圧や肥満に伴う便秘に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
チョウトーンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2101000004,釣藤散,体力中等度で、慢性に経過する頭痛、めまい、肩こりなどがあるものの次の諸症：,慢性頭痛、神経症、高血圧の傾向のあるもの,"本剤は、漢方の古典「類証普済本事方」（宋代）に収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　中年から高年にかけて、高血圧などの生活習慣病の傾向が出てくるとともに、頭痛がするといったことがあります。とくに日ごろ過労や緊張によるストレスの強い働き盛りの方で、起床時あるいは午前中に調子が悪く、頭痛がしたり頭が重い、といった方がしばしばみられます。
　チョウトーンNは、中高年や血圧が高くなる傾向の方の慢性に続く頭痛をとる漢方薬です。",釣藤散エキス散(3.78g),セッコウ(3g)、チョウトウコウ(1.8g)、チンピ(1.8g)、バクモンドウ(1.8g)、ハンゲ(1.8g)、ブクリョウ(1.8g)、キクカ(1.2g)、ニンジン(1.2g)、ボウフウ(1.2g)、カンゾウ(0.6g)、ショウキョウ(0.6g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸虚弱で冷え症の人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
チョレインN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1501000112,猪苓湯,体力に関わらず使用でき、排尿異常があり、ときに口が渇くものの次の諸症：,排尿痛、残尿感、排尿困難、頻尿、むくみ,"本剤は、漢方の古典「傷寒論」、「金匱要略」（いずれも後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　チョレインNは、排尿時に痛みや不快な残尿感があるとか、尿が出にくい場合に用いられる漢方薬です。",エキス散(2.2g),カッセキ(2g)、ゼラチン(2g)、タクシャ(2g)、チョレイ(2g)、ブクリョウ(2g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、クロスポビドン、軽質無水ケイ酸、ステアリン酸マグネシウム、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
ツードーンS「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0701000721,通導散,比較的体力があり下腹部に圧痛があって便秘しがちなものの次の諸症：,月経不順、月経痛、更年期障害、腰痛、便秘、打ち身（打撲）、高血圧の随伴症状（頭痛、めまい、肩こり）,"本剤は、漢方の古典「万病回春」（明代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　ツードーンSは、漢方でいうお血の改善に用いるお薬です。お血は一種の血液循環障害と考えられ、打撲や外傷に伴う内出血や鬱血もお血ですし、慢性的な一種の体質としてお血がみられる場合もあります。この場合、自律神経系や内分泌との関係も示唆されています。
　顔色が赤いとか、唇や歯ぐきが暗赤色を帯びている、といったことがお血の目安となる場合もありますが、このほか便秘傾向、下腹部を押すと圧迫感があるとか、更年期等にみられるようなイライラ、不安などの精神症状、からだの各部の疼痛や凝りなども一連のお血症状とみなされることがあり、ツードーンSはこれらの緩解に効果があります。",水製エキス(2.9g),キジツ(1.5g)、ダイオウ(1.5g)、トウキ(1.5g)、カンゾウ(1g)、コウカ(1g)、コウボク(1g)、ソボク(1g)、チンピ(1g)、モクツウ(1g)、無水ボウショウ(0.9g),結晶セルロース、酸化チタン、ステアリン酸マグネシウム、タルク、ヒプロメロース(ヒドロキシプロピルメチルセルロース)、アメ粉、メタケイ酸アルミン酸マグネシウム、カラメル、カルナウバロウ、サラシミツロウ,15錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：5錠：3回
15歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．本剤を服用している間は、次の医薬品を服用しないでください
　他の瀉下薬（下剤）
2．授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けてください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
　（5）高齢者。
　（6）次の症状のある人。
　　むくみ
　（7）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：はげしい腹痛を伴う下痢、腹痛

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位（便秘に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",
トウシャンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000431,当帰芍薬散,体力虚弱で、冷え症で貧血の傾向があり疲労しやすく、ときに下腹部痛、頭重、めまい、肩こり、耳鳴り、動悸などを訴えるものの次の諸症：,月経不順、月経異常、月経痛、更年期障害、産前産後あるいは流産による障害（貧血、疲労倦怠、めまい、むくみ）、めまい・立ちくらみ、耳鳴り、頭重、肩こり、腰痛、足腰の冷え症、むくみ、しもやけ、しみ,"本剤は、漢方の古典「金匱要略」（後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　トウシャンNは、比較的体力が乏しく、冷え症で貧血の傾向があって疲れやすい方に用いられる漢方薬で、月経不順、月経異常、更年期障害などの症状でお悩みの方に効果があります。
　また、上記のタイプの方の足腰の冷えや腰痛といった症状にも用いられます。",当帰芍薬散エキス散(3.3g),シャクヤク(2g)、タクシャ(2g)、ビャクジュツ(2g)、ブクリョウ(2g)、センキュウ(1.5g)、トウキ(1.5g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）胃腸の弱い人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
トーガックN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2101000006,桃核承気湯,体力中等度以上で、のぼせて便秘しがちなものの次の諸症：,月経不順、月経困難症、月経痛、月経時や産後の精神不安、腰痛、便秘、高血圧の随伴症状（頭痛、めまい、肩こり）、痔疾、打撲症,"本剤は、漢方の古典「傷寒論」（後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　体力はかなりあるが、のぼせやすく便秘の傾向がある、また女性の場合、生理がつらいといった状態に悩まされている方があります。
　これらの方は漢方ではお血といって、体内の一種の血行障害によって起こると考えています。
　トーガックNは、効能・効果にあるようなお血症状をとるのに効果のある漢方薬です。",桃核承気湯エキス散(1.8g),トウニン(3.3g)、ケイヒ(2.7g)、ダイオウ(2g)、カンゾウ(1g)、無水ボウショウ(0.6g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．本剤を服用している間は、次の医薬品を服用しないでください
　他の瀉下薬（下剤）
2．授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けてください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
　（5）高齢者。
　（6）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（7）次の症状のある人。
　　むくみ
　（8）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：はげしい腹痛を伴う下痢、腹痛

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位（便秘に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください
6．本剤の服用により、予期しない出血があらわれた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
トーキインN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2101000073,当帰飲子,体力中等度以下で、冷え症で、皮膚が乾燥するものの次の諸症：,湿疹・皮膚炎（分泌物の少ないもの）、かゆみ,"本剤は、漢方の古典「済生方」収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　老年になると皮膚が乾燥気味になって、かゆみを訴えることがよくあります。
　また、老齢の方でなくても空気が冷えて乾燥してくる季節、皮膚がカサカサした傾向になったり、かゆみに悩まされる方も近年増えています。
　これらは漢方では血虚（滋潤・栄養のはたらきをする血の不足）に伴って起こっていると考えますが、トーキインNは分泌物の少ない湿疹、かゆみをおさえる漢方薬です。",エキス散(3.9g),トウキ(2.5g)、ジオウ(2g)、シツリシ(1.5g)、シャクヤク(1.5g)、センキュウ(1.5g)、ボウフウ(1.5g)、カシュウ(1.25g)、オウギ(1g)、ケイガイ(1g)、カンゾウ(0.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感、腹痛

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
ノーザA「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0701000549,葛根湯加川芎辛夷,,鼻づまり、蓄膿症、慢性鼻炎,"本剤は、漢方の古典「傷寒論」（後漢時代）収載の薬方を基本とした我が国の経験処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　近年、食生活や環境の変化などにより蓄膿症や慢性鼻炎などの鼻の病気が増えています。
　「鼻がスッキリしない」のは非常にうっとうしく、またつらいものです。
　ノーザAは、鼻づまりを中心に、膿汁などの症状を伴うような場合に用いて効果があります。",葛根湯加川きゅう辛夷エキス(2.25g),カッコン(2g)、マオウ(2g)、シンイ(1.5g)、センキュウ(1.5g)、タイソウ(1.5g)、カンゾウ(1g)、ケイヒ(1g)、シャクヤク(1g)、ショウキョウ(0.5g),含水二酸化ケイ素、酸化チタン、ステアリン酸マグネシウム、タルク、トウモロコシデンプン、乳糖水和物、ヒプロメロース(ヒドロキシプロピルメチルセルロース)、アメ粉、メタケイ酸アルミン酸マグネシウム、カラメル、カルナウバロウ、サラシミツロウ,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満7歳以上：2錠：3回
7歳未満5歳以上：1錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）発汗傾向の著しい人。
　（6）高齢者。
　（7）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（8）次の症状のある人。
　　むくみ、排尿困難
　（9）次の診断を受けた人。
　　高血圧、心臓病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
ノーザVN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1901000172,辛夷清肺湯,体力中等度以上で、濃い鼻汁が出て、ときに熱感を伴うものの次の諸症：,鼻づまり、慢性鼻炎、蓄膿症（副鼻腔炎）,"本剤は、漢方の古典「外科正宗」（明代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　最近は食生活や環境の変化などにより、鼻がつまって、スッキリしない方が増えています。
　ノーザVNは、濃厚な鼻汁が出たり、鼻がつまり、乾燥気味で熱感があるような蓄膿症などの鼻症状に用いられる漢方薬です。",辛夷清肺湯エキス散(3.24g),セッコウ(2.5g)、バクモンドウ(2.5g)、オウゴン(1.5g)、サンシシ(1.5g)、チモ(1.5g)、ビャクゴウ(1.5g)、シンイ(1g)、ビワヨウ(1g)、ショウマ(0.5g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、低置換度ヒドロキシプロピルセルロース、トウモロコシデンプン,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸虚弱で冷え症の人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
